Kabupaten/Kota;Status Kabupaten/Kota;Kecamatan;Desa/Kelurahan;Status Desa/Kelurahan
Nias Selatan;Kabupaten;Gomo;Tanoniko'o;Desa
Nias Selatan;Kabupaten;Gomo;Umbu Orahua;Desa
Nias Selatan;Kabupaten;Hibala;Baruyu Sibohou;Desa
Nias Selatan;Kabupaten;Hibala;Bawonifaoso;Desa
Nias Selatan;Kabupaten;Hibala;Duru;Desa
Nias Selatan;Kabupaten;Hibala;Eho;Desa
Nias Selatan;Kabupaten;Hibala;Hilianombasela;Desa
Nias Selatan;Kabupaten;Hibala;Hilikana;Desa
Nias Selatan;Kabupaten;Hibala;Hilinifaese;Desa
Nias Selatan;Kabupaten;Hibala;Hiliorodua Tebolo;Desa
Nias Selatan;Kabupaten;Hibala;Hilioromao;Desa
Nias Selatan;Kabupaten;Hibala;Lumbui Melayu;Desa
Nias Selatan;Kabupaten;Hibala;Lumbui Nias;Desa
Nias Selatan;Kabupaten;Hibala;Omega;Desa
Nias Selatan;Kabupaten;Hibala;Sepakat;Desa
Nias Selatan;Kabupaten;Hibala;Sialema;Desa
Nias Selatan;Kabupaten;Hibala;Tano Mokinu;Desa
Nias Selatan;Kabupaten;Hibala;Tebolo Melayu;Desa
Nias Selatan;Kabupaten;Hibala;Tuwaso;Desa
Nias Selatan;Kabupaten;Hilimegai;Bawosalo'o Dao-dao;Desa
Nias Selatan;Kabupaten;Hilimegai;Dao-dao Sowo;Desa
Nias Selatan;Kabupaten;Hilimegai;Hiliadulo;Desa
Nias Selatan;Kabupaten;Hilimegai;Hilitoese;Desa
Nias Selatan;Kabupaten;Hilimegai;Soledua;Desa
Nias Selatan;Kabupaten;Hilimegai;Soledua I;Desa
Nias Selatan;Kabupaten;Hilimegai;Soledua II;Desa
Nias Selatan;Kabupaten;Hilimegai;Togizita;Desa
Nias Selatan;Kabupaten;Hilimegai;Togizita I;Desa
Nias Selatan;Kabupaten;Hilimegai;Tuho'owo;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Anaoma;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Berua Siwalawa;Desa
