Kabupaten/Kota;Status Kabupaten/Kota;Kecamatan;Desa/Kelurahan;Status Desa/Kelurahan
Nias Selatan;Kabupaten;Hilisalawa'ahe;Bukit Burasi;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Hiliadulo;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Hiligodu;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Maluo;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Manawadano;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Sisobahili Siwalawa;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Talio;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Umbuasi;Desa
Nias Selatan;Kabupaten;Hilisalawa'ahe;Umbuasi Barat;Desa
Nias Selatan;Kabupaten;Huruna;Bawohosi;Desa
Nias Selatan;Kabupaten;Huruna;Ehosakhozi;Desa
Nias Selatan;Kabupaten;Huruna;Fadoro Tuhemberua;Desa
Nias Selatan;Kabupaten;Huruna;Hilifalawu;Desa
Nias Selatan;Kabupaten;Huruna;Hilimanawa;Desa
Nias Selatan;Kabupaten;Huruna;Hiliuso;Desa
Nias Selatan;Kabupaten;Huruna;Hilizoliga;Desa
Nias Selatan;Kabupaten;Huruna;Lalimanawa;Desa
Nias Selatan;Kabupaten;Huruna;Luahamofakhe;Desa
Nias Selatan;Kabupaten;Huruna;Mombawa Oladano;Desa
Nias Selatan;Kabupaten;Huruna;Olayama;Desa
Nias Selatan;Kabupaten;Huruna;Sifalago;Desa
Nias Selatan;Kabupaten;Huruna;Sifaoroasi;Desa
Nias Selatan;Kabupaten;Huruna;Sifaoroasi Huruna;Desa
Nias Selatan;Kabupaten;Huruna;Sisarahili Huruna;Desa
Nias Selatan;Kabupaten;Huruna;Tarewe;Desa
Nias Selatan;Kabupaten;Huruna;Tundrumbaho;Desa
Nias Selatan;Kabupaten;Idanotae;Awoni;Desa
Nias Selatan;Kabupaten;Idanotae;Balombaruzo Orahua;Desa
Nias Selatan;Kabupaten;Idanotae;Buhawa;Desa
